NT,distance_km,QBER_BB84,SKR_BB84,QBER_LM05,SKR_LM05
4,2,0.016840108480836884,0.0717599922067011,0.015096460740232595,0.1194525678980395
4,4,0.01692627163010122,0.054942432716076475,0.015155762585243244,0.07304590342474597
4,6,0.017014026389960246,0.04014104740581757,0.01527821628074977,0.040462339354008885
4,8,0.01710495849213313,0.028005933302543987,0.015546082327736709,0.020423753152060284
4,10,0.017204900808026623,0.018822336103840247,0.01614547512703242,0.009632157930796277
8,2,0.016837955278806858,0.14386997000750504,0.015095325031366881,0.24144982500111267
8,4,0.016918944806264404,0.11186602520498573,0.015149468753047459,0.15225046129189687
8,6,0.016999313817468012,0.08392785977037608,0.015252502580087385,0.08928695570514003
8,8,0.017080247539021626,0.06087896978622422,0.015455234696270217,0.04913241454482171
8,10,0.0171647200934897,0.04313450731463446,0.015851439281776805,0.026055993677832404
12,2,0.016813801241105333,0.2166214920132644,0.015089562996582276,0.38697873313284376
12,4,0.016897333852591255,0.16937631518676918,0.015138260060224935,0.24768320622167458
12,6,0.016979073715342508,0.12832403584336968,0.01522829140949568,0.1485300675041995
12,8,0.01705992254860785,0.09442741017754083,0.015399080714287179,0.0842803012059822
12,10,0.017141866126942042,0.06820881227024483,0.015718022855282354,0.04649053286321387
